name,summary,location,phone,email,website,person,designation,source_link
Digital Broadcast Private Limited,"Digital Broadcast Pvt. Limited (DBTV) is the first Internet TV in the South-Asian region. DBTV aims to disrupt the media landscape in the region with the mission of empowering citizens with information that can be translated into actionable knowledge. DBTV is also one of the first media entities in the region to deploy Artificial Intelligence (AI) enabled newsroom. DBTV core values are Empathy and Compassion, which translate into building Trust in societies. DBTV content aims to reflect and insp
","Service Road, Islamabad, Islamabad Capital Territory, Pakistan",3333833330,aj@dbtv.live,http://www.dbtv.live,Jahangir Amir,CEO,https://www.pasha.org.pk/d/l/digital-broadcast-private-limited/
Digital Processing Systems Inc.,,"1st floor, Software Technology Park , Islamabad, Islamabad Capital Territory, Pakistan",(9251) 2826630,fkk@d-p-s.com,www.d-p-s.com,Farrukh Khawaja,President,https://www.pasha.org.pk/d/l/digital-processing-systems-inc/
Digital Research Labs (Pvt) Ltd,,"Office # 20, Street #2, Sector E-11/4, Islamabad, Islamabad, Islamabad Capital Territory, Pakistan","(9251) 2877575, 2803191",hashir@drl.com.pk,http://www.drl.com.pk,Hashir Jan,CEO,https://www.pasha.org.pk/d/l/digital-research-labs-pvt-ltd/
Digitalsofts (Pvt.) Ltd.,"Digitalsofts (Software Company) is affiliated and member of the Chambers and IT Associations like P@SHA,FCCI, government related departments PSEB, TDAP. and our company is a permanent tax paying company which is registered with SECP & FCCI Faisalabad chamber of commerce and Industry.
","Office#1, 2nd Floor, 3rd Galleria, Rex City, Faisalabad, Punjab, Pakistan",0321 8661765,shahid@digitalsofts.com,http://www.digitalsofts.com,Shahid Aslam,CEO,https://www.pasha.org.pk/d/l/digitalsofts-pvt-ltd/
Digitech Global (Pvt.) Ltd.,"Proudly serving the world’s top asset finance and leasing companies with smart software technology for over four decades.
Changing the game in the healthcare industry, HospitALL makes healthcare more accessible and efficient for general consumers. Our aim is to not only benefit the consumers but each and every stakeholder; Medical Care Providers, Professionals and Healthcare Consumers. The long term goal is not just to create systems but to make them robust and sustainable as well in order 
","Netsol Avenue, Lahore, Punjab, Pakistan",0321-4496814,ayub.ghauri@netsoltech.com,http://hospitall.tech,Ayub Ghauri,CEO,https://www.pasha.org.pk/d/l/digitech-global-pvt-ltd/
Dikhawa,,"plot 729/c/2, 4th floor, block-2,PECHS Karachi, Karachi, Sindh, Pakistan",9.23E+11,akbar.a.anwer@gmail.com,http://www.dikhawa.pk,Akbar Anwer Noorani,CEO,https://www.pasha.org.pk/d/l/dikhawa/
Discretelogix Pvt. Limited,"Established in 2006, Discretelogix is an ISO 9001:2008 certified technology-oriented solution provider company serving clients worldwide.
","Service Road North, Islamabad, Islamabad Capital Territory, Pakistan 46000",+92-51-844 3637,info@discretelogix.com,https://www.discretelogix.com/,Farrukh Malik,CEO,https://www.pasha.org.pk/d/l/discretelogix-pvt-limited/
Diyatech Pakistan,"Diyatech is solutions focused company, committed to delivering creative and challenging software solutions. Our goal is to build positive relationships, add value, and provide highest quality of work to our customers in order to lead in providing technology solutions and web development services, all at very affordable cost. We endeavor to create a congenial and growth oriented environment for our employees, where there is plenty of challenge to stimulate their intellect while work environment i
","Plot No. 43, Street No. 36, Sector G-10/4, Islamabad, Islamabad Capital Territory, Pakistan",0300-8551888,malik_kamran@diyatech.com,http://www.diyatech.com,Afzaal Mustafa,CEO,https://www.pasha.org.pk/d/l/diyatech-pakistan/
DMM NOW (Pvt.) Ltd.,"
Unique User Experience


We examine what MNOs are doing to stay relevant and competitive in this fast-paced world, and which ones are doing it best. We then strategize using smart tools and global resources in order to understand the implications of every choice our clients 

","Unnamed Road, Islamabad, Islamabad Capital Territory, Pakistan",051-5424011,fysal@dmmnow.com,http://www.dmmnow.com,Fysal Gill,CEO,https://www.pasha.org.pk/d/l/dmm-now-pvt-ltd/
Dockland Technologies Pakistan Private Limited,,"98 Al Hamra C.H.S. Block-7/8, Off Tipu Sultan Road, Karachi, Sindh, Pakistan",021 34522798,salman@docklandtechnologies.com,http://www.docklandtechnologies.com,Salman Khan,CEO,https://www.pasha.org.pk/d/l/dockland-technologies-pakistan-private-limited/
DPL (Pvt.) Ltd.,"DPL’s culture aims to unlock human potential, raising people above a subservient and robotic “Yes Sir!” mentality. With a liberating culture and a healthy environment, we are able to attract the top 5% talent in the market. Our employees are encouraged to question, reflect and improvise which along with their experiences and insights, leads to creative solutions that outsmart the competition.
A flat hierarchy.
Honest and truthful communication.
A commitment and passion to our 
","Islamabad Stock Exchange Tower, 14th Floor، Jinnah Ave, F 7/1 Blue Area, Islamabad, Islamabad Capital Territory 44000, Islamabad, Islamabad Capital Territory, Pakistan 46000",(051) 2895321,syed@dplit.com,http://www.dplit.com,Syed Ahmad,CEO,https://www.pasha.org.pk/d/l/dpl-pvt-ltd/
Dr. Tech SMC (Pvt.) Ltd.,"Dr. Tech is a group of technology enthusiasts with a knack for emerging technologies, implied analytics and flying objects. We offer a range of indigenous products and services to harness the power of innovation with insights derived from the data and offer pioneering turnkey solutions in line with United Nation’s sustainable development agenda to transform our world.
","21 Cooper Road, Lahore, Punjab, Pakistan",0321-7079639,waseem@drtechpk.com,https://drtechpk.com/,Waseem Akhtar Butt,CEO,https://www.pasha.org.pk/d/l/dr-tech-smc-pvt-ltd/
DSS Media,,"46 GG, Phase IV, DHA Lahore, Lahore, Punjab, Pakistan",tel: +92 423 5694380,hasan@dssmedia.com,http://www.dssmedia.com,Hasan Saleem,CEO,https://www.pasha.org.pk/d/l/dss-media/
Dtech Systems,"Dtech Systems is a full service leading digital agency with its clients in the US, UK, and the GCC region. We offer an array of digital media services with a unique flair for expertise. Our digital solutions offer clients complete control over their business. There is a wide range of services we offer including website design & development, mobile app development, content and inbound marketing, search engine optimization and a wide range of social media services and campaigns to help our cli
","50 Lower Mall, Lahore, Punjab, Pakistan",-7110412,info@dtechsystems.co,http://www.dtechsystems.co,Talha Mujahid,CEO,https://www.pasha.org.pk/d/l/dtech-systems/
Dymaxel Systems (Pvt.) Ltd.,"We help our Clients towards Digital Transformation by reinventing their organization through the use of digital technology to improve the way it performs and serves its constituents.
We help our Client’s to automate its core business processes using digital technology in order to gain competitive advantage and gain  differentiation in its market segment.
We help our Client’s to the streamlining of business process through digital computer applications and hardware to help them achieve
","Shahrah-e-Faisal Road, Karachi, Sindh, Pakistan",92-21-38887829,ceo@dymaxel.com,http://www.dymaxel.com,Shazia Malik,CEO,https://www.pasha.org.pk/d/l/dymaxel-systems-pvt-ltd/
Dynamic Global Links,"Dynamics Global links is a business-focused technology solutions company that enables organizations to create demonstrable business value through the use of technology. By assisting the enterprise to develop and execute on focused strategies to reduce operating costs or drive critical competitive advantage, we ensure your business will obtain the desired benefit from your technology investments or can exit a project quickly with little risk.
 
<p class='text-ju
","1613-1615, 16th Floor, Muhammadi Trade Tower, Altaf Hussain Road, Off I I Chundrigar Road, Karachi, Sindh, Pakistan",021-32371121-25,info@dglinks.net,http://www.dglinks.net,Syed Muhammad Anees,CEO,https://www.pasha.org.pk/d/l/dynamic-global-links/
DynamoLogic,"A Technology & Business Partner you can bank on!
Our experience comes from flawless execution of hundreds of projects
","12 Main Double Road, Islamabad, Islamabad Capital Territory, Pakistan",051-8312580,info@dynamologic.com,http://www.dynamologic.com,Bilal Yousaf / Ibraheem Khan,CEO,https://www.pasha.org.pk/d/l/dynamologic/
DynaSoft Technologies,"DynaSoft is driven by the passion to use technology for continuously improving business processes with a goal of increasing profitability. We empower organizations to gain the dividends of the possibilities that technology offers.
DynaSoft aspires to be the market leaders in CRM and ERP Implementation services in the EMEA region. As a team, we have a cumulative experience of 2 decades delivering world class enterprise software solutions for our clients. We have successfully delivered numerous p
","Service Road, Islamabad, Islamabad Capital Territory, Pakistan",0301-5157558,taha@dynasoft.tech,http://dynasoft.tech/,Muhammad Taha Masood,CEO,https://www.pasha.org.pk/d/l/dynasoft-technologies/
DYS Solutions (Pvt.) Ltd.,,"Suit 1012, 10th Floor, Kavish Crown Plaza Karachi, Karachi, Sindh, Pakistan",tel: +922134330999,danish@dys-solutions.com,http://www.dys-solutions.com,Danish Zafar,CEO,https://www.pasha.org.pk/d/l/dys-solutions-pvt-ltd/
Dzine Media,,"90-91, Kohi Noor One, First Floor, Faisalabad, Faisalabad, Punjab, Pakistan",,usman.shakoor@dzine-media.com,http://www.dzine-media.com,Muhammad Usman Shakoor,CEO,https://www.pasha.org.pk/d/l/dzine-media/
E-Cart Services Pakistan Pvt. Ltd.,,"2A 2nd Floor, Dolmen Executive Tower, Clifton, Karachi, Karachi, Sindh, Pakistan",tel: 021-35297851-56,adam.dawood@kaymu.pk,http://www.kaymu.pk,Adam Dawood,CEO,https://www.pasha.org.pk/d/l/e-cart-services-pakistan-pvt-ltd/
e-Curesoft (Pvt.) Ltd.,,"House No. 8, Street 15, Cavalry Ground, Lahore, Punjab, Pakistan",(9242) 667-4169,,,,,https://www.pasha.org.pk/d/l/e-curesoft-pvt-ltd/
E-Ocean (Pvt.) Ltd.,,"Mezzanine Floor,29-c, sunset lane #1, Phase II, Ext. DHA, Karachi, Karachi, Sindh, Pakistan",tel: 35317900-01,asif@eocean.com.pk,http://www.eocean.com.pk,Syed Muhammad Asif Jafri,CEO,https://www.pasha.org.pk/d/l/e-ocean-pvt-ltd/
E2E Solution Providers (Pvt.) Ltd.,,"146/I, Shalimar Lane, Lahore, Punjab, Pakistan",-6603292,shoaeb.shams@e2esp.com,www.e2esp.com,Shoaeb Shams,CEO,https://www.pasha.org.pk/d/l/e2e-solution-providers-pvt-ltd/
Ebryx Private Limited,,"Office #2, 1st Floor, Big City Plaza, 3-E-2, Main Boulevard, Gulberg III, Lahore, Punjab, Pakistan",042-3577-4061,ahrar@ebryx.com,http://www.ebryx.com,Mohammad Ahrar Naqvi,CEO,https://www.pasha.org.pk/d/l/ebryx-private-limited/
EC-Pak (Pvt.) Ltd.,,"214, The Plaza, Block-9, Karachi, Sindh, Pakistan",(021) 582-2641-42,,,,,https://www.pasha.org.pk/d/l/ec-pak-pvt-ltd/
ECASoft,,"194, Block-7/8, Opposite Hill Park, Karachi, Sindh, Pakistan",(9221) 4387936,mustafa@ecasoft.com,www.ecasoft.com,Mustafa Sultan Ali,Chief Information Officer,https://www.pasha.org.pk/d/l/ecasoft/
Ecommerce Gateway Pakistan (Pvt.) Ltd.,"Ecommerce Gateway Pakistan (Pvt) Ltd is an Exhibitions Owner, Trade Fair, Trade Shows Exhibition Organizer, Event Management Company with strategic partners and major operations in Pakistan. Since its inception in 2001, Ecommerce Gateway has, through a two-prong strategy, extended its reach to cover all major cities of Pakistan, simultaneously establishing a network of partners in China, Turkey, South Korea, U.K., Malaysia, U.A.E., Central Asian Republics, Middle East, India and Far East. With r
","8 Kokan Society, Azhar Hussain Road, Karachi, Sindh, Pakistan",tel: +9221111222444,umair@ecgateway.net,http://www.ecgateway.net,Muhammad Umair Nizam,Vice President,https://www.pasha.org.pk/d/l/ecommerce-gateway-pakistan-pvt-ltd/
eDev Technologies,,"502-3, Progressive Square, 11-A, Block-6, Karachi, Sindh, Pakistan",(9221) 4314571-73,akbarali@edevtech.com,www.edevtech.com,Akbar Ali Sharif,CEO,https://www.pasha.org.pk/d/l/edev-technologies/
EDP Services (Pvt) Limited,,"No. 414, 4th floor, Ennum Estate , Karachi, Sindh, Pakistan",(9221) 453-8918,info@edp.com.pk,www.edp.com.pk,Syed Hamza Mateen,CEO,https://www.pasha.org.pk/d/l/edp-services-pvt-limited/
EdTech Worx (Pvt.) Ltd.,"We are an educational technology company that develops online digital interactive data-driven products in the
spectrum of Education and Corporate arena.
","National Incubation Center Lahore, Syed Babar Ali School of Science and Engineering, LUMS, D.H.A, Lahore, Pakistan 547892, Lahore, Punjab, Pakistan 46000",-8359332,info@edtechworx.com,https://edtechworx.com/,Tahir Awan,CTO,https://www.pasha.org.pk/d/l/edtech-worx-pvt-ltd/
EduSys Pakistan,,"32 Multan Road near Green Building, Lahore, Punjab, Pakistan",042-37411816,nouman.ali.syed@gmail.com,www.edusyspk.com,Nouman Ali Syed,CEO,https://www.pasha.org.pk/d/l/edusys-pakistan/
Efrotech Services,,"12-C, Block 6, P.E.C.H.S, Shahrah-e-Faisal, Karachi, Sindh, Pakistan","(92-21) 34556101-03, 32043020-21",nadir.feroz@efrotech.com,www.efrotech.com,Nadir Khan Feroz,CEO,https://www.pasha.org.pk/d/l/efrotech-services/
Electro Business,"Electro business Technologies is a quality driven companyand is one of the leading Web Services providers in their Since 2000.
Electro business Technologies has entered into various National, International, and Government based ventures and completed them successfully.
We have team of dedicated professionals with in-depth knowledge and technical expertise, who are always ready to work on challenging projects to deliver more value to your business.
Electro business Technologies is committe
","Khayaban-e-Seher, Karachi, Sindh, Pakistan",0311-1237111,ceo@ebtechno.com,http://www.ebtechno.com/,Muhammad Zahid,CEO,https://www.pasha.org.pk/d/l/electro-business/
Electronic Solutions Pakistan (Pvt.) Ltd.,,"12-D, SNC Centre, Islamabad, Islamabad Capital Territory, Pakistan",92-51-2870640-2,ahmad@esolpk.com,www.esolpk.com,Ahsan Ahmad,CEO,https://www.pasha.org.pk/d/l/electronic-solutions-pakistan-pvt-ltd/
Elikser Consultancy Private Limited,"Elikser is a service-oriented consultancy and advisory services organization with delivery offices in North America and Pakistan. By leveraging latest technologies and maintaining international standards, Elikser partners with its clients to help them gain unequivocal efficiencies through processes optimization and technology deployment.
","10 Sachal Sarmast Road, Islamabad, Islamabad Capital Territory, Pakistan 546000",051-8441453,bakht.azam@elikser.com,http://www.elikser.com,Ahmed Bakht Azam,CEO,https://www.pasha.org.pk/d/l/elikser-consultancy-private-limited/
Elixir Technologies Pakistan (Pvt.) Ltd.,"Elixir Technologies provides technology and services that help organizations improve communications to their members and customers by streamlining processes and reducing operational costs.
","5th Floor, Telecom Foundation Complex 7-Mauve Area,Sector G-9/4., Islamabad, Islamabad Capital Territory, Pakistan 46000",(9251) 2808261 (66),Asim_Maqsood@elixir.com,http://www.elixir.com,Asim Maqsood,Company Secretary,https://www.pasha.org.pk/d/l/elixir-technologies-pakistan-pvt-ltd/
Emergen Consulting,,"F-8/1 Hatim Alvi Rd, Karachi, Sindh, Pakistan",(021.529.0381,fkhan@emergen.biz,www.emergen.biz,Faraz Ruknuddin Khan,CEO,https://www.pasha.org.pk/d/l/emergen-consulting/
Emmaculate,,"507, Progressive Center, Karachi, Sindh, Pakistan",(9221) 4559612-13,khurram.minhas@emmaculate.com,www.emmaculate.com,Khurram Minhas,CEO,https://www.pasha.org.pk/d/l/emmaculate/
Empower Pakistan (Pvt) Ltd.,"Here at Genetech we pride ourselves with our ‘open communication’ approach with our clientele. Once you initiate a project with us, be it big or small, our team will provide regular updates, regarding project status. We encourage our clients to interact with us as much as possible; so that we can deliver exactly you’re looking for. As a team, we put in a lot of dedication and finesse into everything we create with you, so that you’re thoroughly pleased with the outcome.
As we begin all our 
","146 Murree Road, Rawalpindi, Punjab, Pakistan","tel: +92-51-5130397, +92-51-8313528",miansajidshah@gmail.com,http://empowerpk.org,Sajid Shah,CEO,https://www.pasha.org.pk/d/l/empower-pakistan-pvt-ltd/
eMumba (Pvt.) Ltd.,"Emumba is a cutting-edge software technology firm that prides itself in its ability to attract and retain top talent and solve complex problems. Led by Silicon Valley veterans, the leadership team has 75+ years of cumulative global experience in technology development, product design and leadership.
Founded in 2011, the company has realized 100% YOY growth and is now home to 150 world class engineers and designers. The diversific
","3 Service Road North, Islamabad, Islamabad Capital Territory, Pakistan",,owais.anjum@emumba.com,http://www.emumba.com,Owais Anjum,CEO,https://www.pasha.org.pk/d/l/emumba-pvt-ltd/
Enabling Technologies.,,"172/P, Najeeb Corner, 4th Floor, Block-2, P.E.C.H.S, Karachi, Sindh, Pakistan",(92) 300-8220180,jehan.ara@gmail.com,http://www.wiredet.com,Jehan Ara,CEO,https://www.pasha.org.pk/d/l/enabling-technologies/
Engineering Consultants International,"We are committed to provide service to our clients as “service business”.
We regard it as a privilege to serve our clients. We know that our independent and unbiased professional advice and services are mission-critical to our clients and strive to contribute to the best of professional abilities to their success and in-turn our own business. While keeping in view the goals of the clients, we recognize that our actions have long-terms effects, and all that we des
","45/1 Darul Aman Street 4, Karachi, Sindh, Pakistan",(9221) 4542290-4,akhlaq.ahmad@ecil.com,http://www.ecil.com,Akhlaq Ahmad,CEO,https://www.pasha.org.pk/d/l/engineering-consultants-international/
Engineering Systems (Pvt.) Ltd.,,"AL-9, 15th Lane, Khayaban-e-Hilal, Karachi, Sindh, Pakistan",(9221) 5849117; 5841821-24; 5841638-39,ahsan@eaworld.com,www.eaworld.com,Ahsan Siddiqui,MD,https://www.pasha.org.pk/d/l/engineering-systems-pvt-ltd/
Engro Digital Ltd,"Engro’s portfolio consists of varied businesses, which include fertilizers, foods, chemical storage & handling, trading, energy and petrochemicals. Fuelled by the vision of becoming the premier Pakistani enterprise with a global reach, passionately pursuing value creation for all stakeholders Engro’s investments in agriculture, foods, energy and chemicals are all designed to deploy inclusive business models to pursue an integrated and inclusive growth for all who interact with our businesses
","Sea View Road, Karachi, Sindh, Pakistan",-463,zafarkhan@engro.com,http://www.engro.com,Zafaryab Ali Khan,CEO,https://www.pasha.org.pk/d/l/engro-digital-ltd/
ENMAC Technologies (Pvt.) Ltd.,,"15FF, Central Plaza, Barkat Market, Lahore, Punjab, Pakistan",+92 42 5843172,naeemdotcom@gmail.com,www.enmac.com.hk,Ahtsham Ul Haq,Director,https://www.pasha.org.pk/d/l/enmac-technologies-pvt-ltd/
Ensign Communique (Pvt) Ltd,,"6th Floor, Shaheen Complex, Karachi, Sindh, Pakistan","+92-21-111-367-446, 2272391",ceo@ensigncom.com,www.ensigncommunique.com,Dr Wali Mughni,CEO,https://www.pasha.org.pk/d/l/ensign-communique-pvt-ltd/
Enterprise Team,"Enterprise Team (eTeam) is a software development company offering a wide range of services and products in the areas of web applications, websites, interactive media, Android and iOS development.
The company is in business since October 2007.


We see work as a source of learning, enjoyment, financial gain and an opportunity to make positive impact on

","607, Level 6, Ibrahim Trade Towers, Main Shahrah-e-Faisal, Karachi, Sindh, Pakistan","+(9221) 3452 9789, +(9221) 3432 7679",riaz@eTeamID.com,http://www.eTeamID.com,Riaz Salim,CEO,https://www.pasha.org.pk/d/l/enterprise-team-2/
ePatterns,,"188-R, Block-2, Karachi, Sindh, Pakistan",021-4531345,,,,,https://www.pasha.org.pk/d/l/epatterns/
ePlanet Communications (Pvt.) Ltd.,,"12th Floor, Caesar's Tower, Karachi, Sindh, Pakistan","(92-21) 2791949, 2791951-54",,,,,https://www.pasha.org.pk/d/l/eplanet-communications-pvt-ltd/
Epoch Systems,,"35-D/E, Ali Block, Lahore, Punjab, Pakistan",(9242) 5841423-5,raza@epochsys.com,www.epochsys.com,,,https://www.pasha.org.pk/d/l/epoch-systems/
ER Solutions,,"House # A2/2 street 1, Karachi, Sindh, Pakistan",021-34812219,mobin.rehman@gmail.com,http://www.ersolutionspk.com,Mobin Ur Rehman,CEO,https://www.pasha.org.pk/d/l/er-solutions/
ESP Global IT Systems (Pvt.) Ltd.,,"First Floor, EFU House, Rawalpindi, Punjab, Pakistan",(9251) 5715665-66,shoaeb_shams@espnv.com,,Shoaeb Shams,Director,https://www.pasha.org.pk/d/l/esp-global-it-systems-pvt-ltd/
Euronet Pakistan (Pvt.) Ltd.,,"1 Moulvi Tamizuddin Khan Road, Karachi, Sindh, Pakistan",tel: 021-35271905,fhabib@eeft.com,http://www.euronetpakistan.com,Furqan Habib,Finance Manager,https://www.pasha.org.pk/d/l/euronet-pakistan-pvt-ltd/
Evamp & Saanga,"Evamp & Saanga is a leading developer of Web, Mobile, and Telecom related applications and solutions in the Middle East and Pakistan. Our company was established in 2001, with a focus towards design and development of innovative solutions for this converging market of Web, Mobile and Telecom . In addition to our own product development, we offer custom development services and system integration for clients.
We pride ourselves as one of the top Web and Digital design com
","335 Potohar Road, Islamabad, Islamabad Capital Territory, Pakistan",051-8444567,anwar.khan@evampsaanga.com,http://www.evampsaanga.com,Anwar Khan,CEO,https://www.pasha.org.pk/d/l/evamp-saanga/
Everest Management Consulting,,"Leeds Center, 11-E-2, Suite 21, 1st Floor, Lahore, Punjab, Pakistan",92 42-5875798,info@everestmc.com,http://www.everestmc.com,Rizwan Amin Sheikh,CEO,https://www.pasha.org.pk/d/l/everest-management-consulting/
Evincible Solutions,"

Established in 2005, Evincible Solutions is an internationally recognized organization of committed professionals who have served top-notched organizations across the globe. We are a promising Enterprise Solutions’ provider with a strong emphasis on customer needs. Evincible Solutions blends technology, experience, and excellence to deliver integrated IT and ITES solutions for industries including Trading, Di

","C-79, Block A, North Nazimabad, Karachi, Sindh, Pakistan",tel: 021-36631250,shafiq@evinciblesolutions.com,http://www.evinciblesolutions.com,Shafiq ur Rehman,CEO,https://www.pasha.org.pk/d/l/evincible-solutions/
Ewadi Associate,,"20 A/2, Block VI, Karachi, Sindh, Pakistan",(9221) 4531310,,,Mohammad Ali,CEO,https://www.pasha.org.pk/d/l/ewadi-associate/
EWS (Pvt) Limited,,"100 Babar Block, Lahore, Punjab, Pakistan",(9242) 5940911-2,itraf@ewconsultinginc.com,www.ewsystemsinc.com,Itraf Ahmad,CEO,https://www.pasha.org.pk/d/l/ews-pvt-limited/
Excellence Delivered ExD (Pvt.) Ltd.,,"ExD House, 89-I, Jail Road, Lahore , Lahore, Punjab, Pakistan",,sajjad.syed@exdnow.com,http://www.exdnow.com,Sajjad Mustafa Syed,CEO,https://www.pasha.org.pk/d/l/excellence-delivered-exd-pvt-ltd/
Eximp Agencies (Pvt.) Ltd.,,"57/7 Shikar Pur Colony, Karachi, Sindh, Pakistan",(9221) 4923321,ahmed@eximpagencies.com,,A.H.A Ahmed,Managing Director,https://www.pasha.org.pk/d/l/eximp-agencies-pvt-ltd/
Expert Systems (Pvt.) Limited,,"House 29, Street 37, Islamabad, Islamabad Capital Territory, Pakistan",(9251) 2854080-1,zahid@expertsystems.net,www.expertsystems.net,Zahid Ahmed Khan,MD,https://www.pasha.org.pk/d/l/expert-systems-pvt-limited/
Eziline Software House (Pvt.) Ltd,"

Eziline is a high end innovative Web Developers based in Pakistan, UK. Established in 2007, we are pioneer in providing superior and world standard web based solutions for small to large corporate companies; offshore and local. Today we are comprised of a team of genius programmers, designers, and marketing executives- selectively chosen to lead our clients in their web ventures. We seize each new 

","Grand Trunk Road, Rawalpindi, Punjab, Pakistan",051 5491184,info@eziline.com,https://eziline.com,Ismail Shah,CEO,https://www.pasha.org.pk/d/l/eziline-software-house-pvt-ltd/
F9 Pvt. Ltd.,"MobiTising is an emerging technology solution company with prime focus on Information Communication Technology. Since Our inception in 2011, WE have been able to have our footprints across IT industry and mobile operators in Pakistan and other regions of the world.
","505, 5th Floor Progressive Centre Shahrah-e-Faisal, Karachi, Sindh, Pakistan",021-34322370,ch.fahad@mobitising.com.pk,http://www.mobitising.com.pk,Fahad Sikandar,CEO,https://www.pasha.org.pk/d/l/f9-pvt-ltd/
FabIntel,"Since our inception in 1995, FabIntel has been delivering software development and related IT services. We combine proven methodologies, business domain knowledge and technology expertise of 150+ skilled software professionals to deliver high quality solutions.
","133-Aurangzeb Block, New Garden Town, Lahore, Lahore, Punjab, Pakistan 54000",-5846502,info@fabintel.com,http://www.fabintel.com,Iftikhar Yasin,CEO,https://www.pasha.org.pk/d/l/fabintel/
Faisal Khan & Company,"Our focus is helping you by providing the best resources and connections for your business.
Learn how we can help you find an MSB Friendly Business Bank Account.
Learn about licensing solutions we can provide. Get regulatory coverage today.
Our payment processing solutions are designed to help businesses of all sizes.
Learn how to start a money transfer business? Watch these series of short videos.
","Off Sunset Boulevard Road, Karachi, Sindh, Pakistan",9.23E+11,fk@faisalkhan.com,https://faisalkhan.com/,Faisal Khan,CEO,https://www.pasha.org.pk/d/l/faisal-khan-company/
Fauji Soft,,"Software Technology Park, Islamabad, Islamabad Capital Territory, Pakistan",(9251) 822848,,,,,https://www.pasha.org.pk/d/l/fauji-soft/
Faysal Associates,"We are glad to introduce ourselves as one of the leading company in Information Technology. Faysal Associates are a skilled and dedicated team of professionals, aiming at providing Complete IT Solutions. Since our inception in 1989, we have grown rapidly, developing into a reputable software & hardware consultancy firm offering personalized services and POS /IT solutions to our customers in Pakistan & abroad. The company has developed a unique approach to providing integrated solutions t
","Tariq Road, Karachi, Sindh, Pakistan",021-34546838,ceo@faysal.com.pk,http://www.faysal.com.pk,Faysal Gulzar,CEO,https://www.pasha.org.pk/d/l/faysal-associates/
Fedglobe (Pvt.) Ltd.,,"78-C, 13th Commercial St. , Karachi, Sindh, Pakistan",(9221) 111-511-511,info@fedglobe.com,www.fedglobe.com,Asad-ur-Rehman,Project Manager,https://www.pasha.org.pk/d/l/fedglobe-pvt-ltd/
Financial Technologies & Consulting (Pvt.) Ltd,,"R-9/11/6, 2nd Floor, Mashoor Mahal, Karachi, Sindh, Pakistan",-150.8828,info@ftcpvt.com,www.ftcpvt.com,Tanveer I. Abbasi,Chief Operating Officer,https://www.pasha.org.pk/d/l/financial-technologies-consulting-pvt-ltd/
FinzFinz,"Finz Technologies is an Indie Game Developer company, who share the passion to make free, easy to play and addictive games for everyone. Fun playtime is just a install away.
Till Jan 2018 we made different sports games of Football, Basketball, Boxing, Fighting, Hockey and Golf.  Our games downloaded 100 Million times on Android and IOS Stores.
","652-G4 Block, Johar Town, Lahore, Punjab, Pakistan 54000",042 38347129,contact@finz.io,http://www.finz.io,Mirza Zeeshan Pervez,CEO,https://www.pasha.org.pk/d/l/finzfinz/
Five River Solutions,"Five River Solutions is an well known organizations working on Mobile 3D Games Development to provide multi-platform games like android and so on. Starting from a small projects,Five River Solutions raced generations over generations of 3D Gaming Industry to become one of the Best Gaming Company in Pakistan. Not just satisfying the needs of Pakistan, ,Five River Solutions also provides its services throughout World with its real time strategy, shooting, racing games.
","1295 Street 62, Islamabad, Islamabad Capital Territory, Pakistan",515172087,syedusmanali.gillani92@yahoo.com,http://fiveriversolutions.com,Syed Usman Ali Shah Gillani,CEO,https://www.pasha.org.pk/d/l/five-river-solutions/
Five Rivers Technologies (Pvt.) Ltd.,,"26-F, Main Market, Gulberg II, Lahore, Punjab, Pakistan","(9242) 576.1061, 5788281",hasan.rizvi@fiveriverstech.com,www.fiveriverstech.com,Hasan Akhtar Rizvi,CEO,https://www.pasha.org.pk/d/l/five-rivers-technologies-pvt-ltd/
Fleekbiz,"With the intention of creating values out of nothing and paving ways out of flunking; Fleekbiz came into existence to provide people with a platform and equip them with the tools to help them realize their dreams and make them aware of us that we are here for you.
By not just being a digital agency, Fleekbiz wants to leave it’s mark in the world of brands & marketing for individuals & corporations as a humble companion which one can rely on always.

","New Road Service Lane, Karachi, Sindh, Pakistan",021-34161261,zain@fleekbiz.com,http://www.fleekbiz.com,Syed Zain Ali,CEO,https://www.pasha.org.pk/d/l/fleekbiz/
Fliegen IT Solution (Pvt) Ltd,"Fliegen Technologies is a IT Solutions, Website Development, Website Design and Internet Marketing Company serving small and mid-range business. We specialized in Web Design, Web Development and Mobile Applications (Android/iOS) and Ecommerce Solutions.
Supporting you in capitalizing on the possibilities of your prospective consumer lot and fabricating the means to achieving your commerce requirements is in our DNA. We are the leaders in website development with the terms accessible, mobile f
","Unnamed Road, Rawalpindi, Punjab, Pakistan",tel: 0333 5522552,Irfan.khurshid@fliegentech.com,http://www.fliegentech.com,Irfan Khurshid,CEO,https://www.pasha.org.pk/d/l/fliegen-it-solution-pvt-ltd/
Folio3 (Pvt.) Ltd.,,"PAF Museum Road, Karachi, Sindh, Pakistan",(9221) 4544740,alawai@folio3.com,http://www.folio3.com,Adnan Lawai,CEO,https://www.pasha.org.pk/d/l/folio3-pvt-ltd/
